"SL.No.","GP Name","Total Detail Entered (With & Without Toilet) BLS-2012","BPL (2012)","Identified(APL, 2012)","UnIdentified (APL, 2012)","Total (UnIdentified + Identified, APL, 2012)","Total (BPL+APL)","Total HH Identified","No.of HH entered by name [2013-14]","No. of Households covered 2014-2015 (including unapproved)","Total No. of Households Covered after Survey 2012","No.of HH reported by name [2015-16]"
1,"BUCHCHA ",3180,2032,526,622,1148,3180,2558,0,0,0,0
2,"CHAUTHAM ",3096,1794,219,723,942,2736,2013,0,0,0,0
3,"DHUTAULI ",2612,1167,66,942,1008,2175,1233,0,12,12,16
4,"EAST BORNE ",2164,895,33,654,687,1582,928,0,1,1,0
5,"HARDIYA ",3301,1431,748,757,1505,2936,2179,0,1,1,0
6,"MIDDLE BORNE ",2010,842,29,482,511,1353,871,0,0,0,1
7,"NIRPUR ",3151,1495,91,1046,1137,2632,1586,0,0,0,1
8,"PIPRA ",2951,1909,45,567,612,2521,1954,0,0,0,0
9,"ROHIYAR ",2464,1049,96,819,915,1964,1145,0,7,7,0
10,"SARSAWA ",2658,1643,409,201,610,2253,2052,0,1,1,0
11,"TELAUNCHH ",3001,1723,6,779,785,2508,1729,0,0,0,23
12,"THUTHI MOHAN PUR ",3600,1272,60,1940,2000,3272,1332,0,0,0,0
13,"WEST BORNE ",1993,1248,83,92,175,1423,1331,0,0,0,0
