"SL.No.","GP Name","Total Detail Entered (With & Without Toilet) BLS-2012","BPL (2012)","Identified(APL, 2012)","UnIdentified (APL, 2012)","Total (UnIdentified  Identified, APL, 2012)","Total (BPLò�)","Total HH Identified","No.of HH entered by name [2013-14]","No. of Households covered 2014-2015 (including unapproved)","Total No. of Households Covered after Survey 2012","No.of HH reported by name [2015-16]"
1,"BATHNE ",2283,1576,391,80,471,2047,1967,0,58,58,2
2,"BELAHI ",2300,1554,508,0,508,2062,2062,0,0,0,10
3,"BHAGWATIPUR ",2251,1566,451,2,453,2019,2017,0,18,18,28
4,"BHAUR ",2625,1479,878,0,878,2357,2357,0,0,0,1
5,"BHAWANIPUR ",1982,1334,443,0,443,1777,1777,0,66,66,2
6,"BIRAUL ",2214,1246,743,0,743,1989,1989,0,5,5,11
7,"DAHIBAT MADHOPUR (E) ",2276,1363,681,0,681,2044,2044,0,18,18,12
8,"DAHIBAT MADHOPUR (W) ",3131,2173,635,0,635,2808,2808,0,17,17,1
9,"MAKRAMPUR ",2803,1328,1192,0,1192,2520,2520,0,28,28,27
10,"MEGHAUL ",2371,997,1128,5,1133,2130,2125,0,1,1,1
11,"NARPATI NAGAR ",2941,1994,643,0,643,2637,2637,0,32,32,139
12,"PACHADHI ",1968,1118,651,0,651,1769,1769,0,16,16,23
13,"PANDAUL (EAST) ",2055,1269,573,2,575,1844,1842,0,21,21,29
14,"PANDAUL (MIDDLE) ",3645,2440,799,28,827,3267,3239,0,41,41,7
15,"PANDAUL (WEST) ",2747,1875,586,2,588,2463,2461,0,30,30,1
16,"SAGARPUR ",2457,1156,1051,0,1051,2207,2207,0,47,47,9
17,"SAKRI EAST ",2985,2173,502,0,502,2675,2675,0,2,2,0
18,"SAKRI WEST ",1748,922,651,0,651,1573,1573,0,21,21,3
19,"SALEMPUR ",1983,1237,542,0,542,1779,1779,0,6,6,8
20,"SANKORTH ",3352,2198,807,0,807,3005,3005,0,3,3,5
21,"SARISAW PAHI (E) ",2480,1554,673,0,673,2227,2227,0,26,26,3
22,"SARISAW PAHI (W) ",2363,1680,434,6,440,2120,2114,0,63,63,30
23,"SRIPURHATI (M) ",2407,1542,617,0,617,2159,2159,0,6,6,0
24,"SRIPURHATI (N) ",2424,1612,563,0,563,2175,2175,0,185,185,56
25,"SRIPURHATI (S) ",2156,1256,681,0,681,1937,1937,0,3,3,35
26,"UDAIPUR BITHUAR ",2773,1712,778,0,778,2490,2490,0,0,0,1
