"SL.No.","GP Name","Total Detail Entered (With & Without Toilet) BLS-2012","BPL (2012)","Identified(APL, 2012)","UnIdentified (APL, 2012)","Total (UnIdentified  Identified, APL, 2012)","Total (BPLò�)","Total HH Identified","No.of HH entered by name [2013-14]","No. of Households covered 2014-2015 (including unapproved)","Total No. of Households Covered after Survey 2012","No.of HH reported by name [2015-16]"
1,"BETA PARSA ",3198,2057,814,0,814,2871,2871,0,0,0,30
2,"BISAUL ",2772,1838,633,16,649,2487,2471,0,0,0,0
3,"BORHAR ",2236,754,1225,34,1259,2013,1979,0,10,10,12
4,"GANGAUR ",2085,962,971,0,971,1933,1933,0,0,0,123
5,"HARLAKHI ",2541,1630,759,0,759,2389,2389,0,108,108,1
6,"HISAR ",1938,1020,178,20,198,1218,1198,0,35,35,0
7,"JHITKI ",2575,1142,1175,0,1175,2317,2317,0,0,0,13
8,"KALNA ",2979,1456,1222,0,1222,2678,2678,0,12,12,0
9,"KARUNA ",2108,1343,549,0,549,1892,1892,0,0,0,0
10,"KAUHA BARHI ",2624,1517,6,833,839,2356,1523,0,4,4,0
11,"KHIRHAR ",3025,1690,1026,0,1026,2716,2716,0,0,0,5
12,"NAHARNIA ",2852,1723,837,0,837,2560,2560,0,0,0,1
13,"PHULHAR ",3515,1694,1459,6,1465,3159,3153,0,0,0,8
14,"PIPRAUN ",1896,968,700,34,734,1702,1668,0,7,7,15
15,"SISAUNI ",2905,1621,989,0,989,2610,2610,0,0,0,130
16,"SONEI ",2151,1471,457,0,457,1928,1928,0,0,0,0
17,"SOTH GAON ",2774,1425,1060,9,1069,2494,2485,0,0,0,12
