"SL.No.","GP Name","Total Detail Entered (With & Without Toilet) BLS-2012","BPL (2012)","Identified(APL, 2012)","UnIdentified (APL, 2012)","Total (UnIdentified  Identified, APL, 2012)","Total (BPLò�)","Total HH Identified","No.of HH entered by name [2013-14]","No. of Households covered 2014-2015 (including unapproved)","Total No. of Households Covered after Survey 2012","No.of HH reported by name [2015-16]"
1,"BALBA ",2527,1888,374,2,376,2264,2262,0,16,16,10
2,"BASUKI BIHARI NORTH ",2414,1582,500,83,583,2165,2082,0,27,27,74
3,"BASUKI BIHARI SOUTH ",2044,1341,492,0,492,1833,1833,0,29,29,69
4,"BISANPUR ",2242,1517,490,4,494,2011,2007,0,0,0,8
5,"MADHWAPUR ",3431,1768,1248,67,1315,3083,3016,0,68,68,196
6,"MUKHIAPATTI ",2386,1436,706,0,706,2142,2142,0,1,1,17
7,"PIHWARA ",2813,1584,852,90,942,2526,2436,0,0,0,4
8,"PIROKHAR ",2844,1675,878,0,878,2553,2553,0,0,0,10
9,"SAHAR NORTH ",3058,1802,924,19,943,2745,2726,0,95,95,29
10,"SAHAR SOUTH ",2475,1406,811,5,816,2222,2217,0,3,3,22
11,"SALEMPUR ",2465,1815,393,0,393,2208,2208,0,2,2,7
12,"TARAIA ",2491,1605,630,0,630,2235,2235,0,6,6,0
13,"UTTRA ",1681,1126,382,0,382,1508,1508,0,4,4,6
