"No","GP Name","Total Detail Entered (With & Without Toilet) BLS-2012","BPL (2012)","Identified(APL, 2012)","UnIdentified (APL, 2012)","Total (UnIdentified + Identified, APL, 2012)","Total (BPL+APL)","Total HH Identified","of HH entered by name"," of Households covered 2014-2015 (including unapproved)"," of Households Covered after Survey 2012","of HH reported by name"
1,"AURAIYA ",2739,854,825,323,1148,2002,1679,0,0,0,0
2,"BAKULAHAR ",2237,754,859,176,1035,1789,1613,0,61,61,0
3,"BANKAT PURAINA ",2689,1348,787,11,798,2146,2135,0,16,16,0
4,"BETTIAH DIH ",2954,551,772,136,908,1459,1323,0,15,15,0
5,"BHAISAHI POKHARIA ",3166,953,1037,105,1142,2095,1990,0,212,212,1
6,"CHARGAHA ",2861,1267,712,61,773,2040,1979,0,46,46,0
7,"CHUHARI ",2607,1272,745,70,815,2087,2017,0,26,26,4
8,"DAKSHINI GHOGHA ",2666,1062,947,89,1036,2098,2009,0,0,0,0
9,"GIDHA ",2477,893,868,110,978,1871,1761,0,248,248,3
10,"GURWALIA ",3500,1125,1705,7,1712,2837,2830,0,128,128,0
11,"JAITIA ",4118,1955,1280,13,1293,3248,3235,0,148,148,0
12,"KHARG POKHARIA ",2919,1611,681,12,693,2304,2292,0,0,0,0
13,"KURWA MATHIA ",3169,916,991,177,1168,2084,1907,0,100,100,0
14,"LAKHAURA ",3103,1094,225,77,302,1396,1319,0,460,460,3
15,"LALGARH ",2788,1202,788,72,860,2062,1990,0,171,171,0
16,"LOHIARIYA ",2753,1307,798,105,903,2210,2105,0,361,361,0
17,"MAHANA KULI ",2689,823,784,141,925,1748,1607,0,0,0,0
18,"MUSHAHARI SENWARIA ",2650,1531,488,68,556,2087,2019,0,179,179,0
19,"PASHCHMI TURHAPATTI ",1949,722,787,55,842,1564,1509,0,302,302,0
20,"PURBI TURHA PATTI ",1630,1036,229,0,229,1265,1265,0,67,67,0
21,"RANIPUR RAMPURWA ",3118,1211,930,245,1175,2386,2141,0,223,223,15
22,"SIRISIYA ",2902,1464,830,16,846,2310,2294,0,192,192,2
23,"TUNIA BISHUNPUR ",3868,2606,288,0,288,2894,2894,0,190,190,0
24,"UTTARI GHOGHA ",2194,898,197,546,743,1641,1095,0,148,148,0
