Sno.,"Village
Name","Habitation
Name","Source
Type","Source
Type
Category
Location",Location,Type,Scheme Name
1,"BHIKHARI
GHAT","BHIKHARI
GHAT","Shallow
Tubew ell","Ground
Water",,HandPump,"ALAULI H.T. Water
Supply
Scheme(0001986156)"
2,"BHIKHARI
GHAT","BHIKHARI
GHAT","Shallow
Tubew ell","Ground
Water",,HandPump,"ALAULI H.T. Water
Supply
Scheme(0001986156)"
3,"BHIKHARI
GHAT","BHIKHARI
GHAT","Shallow
Tubew ell","Ground
Water",Sri Bhikho Ram,HandPump,"Sinkking Of T/W With I R
P(Anil Kr F2/11/09-10)
(0006493525)"
4,"BHIKHARI
GHAT","BHIKHARI
GHAT","Shallow
Tubew ell","Ground
Water","Kapil Dev
Sada",HandPump,"Sustainable
T/W(0006952680)"
5,"BHIKHARI
GHAT","HARIJAN
TOLA","Shallow
Tubew ell","Ground
Water",,HandPump,"ALAULI H.T. Water
Supply
Scheme(0001986156)"
6,"BHIKHARI
GHAT","HARIJAN
TOLA","Shallow
Tubew ell","Ground
Water",,HandPump,"ALAULI H.T. Water
Supply
Scheme(0001986156)"
7,"BHIKHARI
GHAT","HARIJAN
TOLA","Shallow
Tubew ell","Ground
Water",,HandPump,"ALAULI H.T. Water
Supply
Scheme(0001986156)"
8,"BHIKHARI
GHAT","HARIJAN
TOLA","Shallow
Tubew ell","Ground
Water",,HandPump,"ALAULI H.T. Water
Supply
Scheme(0001986156)"
9,BURHWA,BURWA,"Shallow
Tubew ell","Ground
Water",,HandPump,"ALAULI H.T. Water
Supply
Scheme(0001986156)"
10,BURHWA,BURWA,"Shallow
Tubew ell","Ground
Water",,HandPump,"ALAULI H.T. Water
Supply
Scheme(0001986156)"
11,BURHWA,BURWA,"Deep
Tubew ell","Ground
Water",Parmodyadav,HandPump,"IM II T/W NRDWP
SUSTAINABLE(Sri
Abhishek Kumar, F-
2/3/2013-14)
(0006492566)"
12,BURHWA,BURWA,"Deep
Tubew ell","Ground
Water",Shiv Mandir,HandPump,"IM II T/W NRDWP
SUSTAINABLE(Sri
Abhishek Kumar, F-
2/3/2013-14)
(0006492566)"
13,BURHWA,"HARIJAN
TOLA","Shallow
Tubew ell","Ground
Water",,HandPump,"Alauli New  Sinking H.T.
Water
Supply(0001988594)"
14,BURHWA,"HARIJAN
TOLA","Shallow
Tubew ell","Ground
Water","Radheshyam
Das",HandPump,"Sustainable
T/W(0006952680)"
15,PARRI,"HARIJAN
TOLA","Shallow
Tubew ell","Ground
Water",,HandPump,"Alauli New  Sinking H.T.
Water
Supply(0001988594)"
16,PARRI,PARRI DIH,"Shallow
Tubew ell","Ground
Water",,HandPump,"Alauli New  Sinking H.T.
Water
Supply(0001988594)"
17,PARRI,PARRI DIH,"Deep
Tubew ell","Ground
Water","BHIKHARI
GHAT PARRI",PWS,"MPWSS BHIKHARI
GHAT(0006489451)"
18,PARRI,PARRI DIH,"Deep
Tubew ell","Ground
Water","GHIRLS
PRIMARY
SCHOOL
PARRI",HandPump,"RUNNING WATER
ARRANGEMENT WITH
IRP BY SOLAR ENERGY
IN SCHOOL IN
KHAGARIA(0006552223)"
