"SL.No.","GP Name","Total Detail Entered (With & Without Toilet) BLS-2012","BPL (2012)","Identified(APL, 2012)","UnIdentified (APL, 2012)","Total (UnIdentified  Identified, APL, 2012)","Total (BPLò�)","Total HH Identified","No.of HH entered by name [2013-14]","No. of Households covered 2014-2015 (including unapproved)","Total No. of Households Covered after Survey 2012","No.of HH reported by name [2015-16]"
1,"BABU BARHI ",3181,2834,1,17,18,2852,2835,0,0,0,123
2,"BARDAHI-BARHARA ",3041,2687,43,0,43,2730,2730,0,5,5,12
3,"BASAHA ",2354,2111,0,0,0,2111,2111,0,0,0,1
4,"BELA ",2050,1839,1,0,1,1840,1840,0,0,0,2
5,"BHATCHAURA ",2560,2270,27,0,27,2297,2297,0,24,24,11
6,"BHUPATI ",1499,1318,24,0,24,1342,1342,0,1,1,10
7,"CHHAURAHI ",2054,1568,275,0,275,1843,1843,0,0,0,1
8,"DHAMAURA ",2396,1537,606,8,614,2151,2143,0,0,0,8
9,"GHANGHAUR ",2148,1921,1,3,4,1925,1922,0,1,1,16
10,"KULHARIA ",2390,2130,12,0,12,2142,2142,0,3,3,3
11,"MAHESH WARA ",2221,1993,0,0,0,1993,1993,0,14,14,2
12,"MISRAULIA ",3408,3055,1,0,1,3056,3056,0,0,0,21
13,"MURHADI ",2761,2478,0,0,0,2478,2478,0,0,0,1
14,"PACHRUKHI ",2712,2416,14,0,14,2430,2430,0,26,26,34
15,"PIRHI ",2143,1907,15,0,15,1922,1922,0,1,1,4
16,"SARRA-SANPATAHI ",3354,2988,4,12,16,3004,2992,0,0,0,12
17,"SATGHARA ",2210,1480,489,9,498,1978,1969,0,1,1,9
18,"SONMATI ",2536,2181,83,14,97,2278,2264,0,0,0,13
19,"TEGHRA ",2262,1819,210,1,211,2030,2029,0,3,3,33
20,"TIRHUTA ",3830,2876,33,526,559,3435,2909,0,0,0,13
