"SL.No.","GP Name","Total Detail Entered (With & Without Toilet) BLS-2012","BPL (2012)","Identified(APL, 2012)","UnIdentified (APL, 2012)","Total (UnIdentified  Identified, APL, 2012)","Total (BPLò�)","Total HH Identified","No.of HH entered by name [2013-14]","No. of Households covered 2014-2015 (including unapproved)","Total No. of Households Covered after Survey 2012","No.of HH reported by name [2015-16]"
1,"BELAHI ",2373,1901,224,0,224,2125,2125,0,33,33,0
2,"DALOKHAR ",2562,1976,319,0,319,2295,2295,0,19,19,31
3,"EKHARI ",2706,1943,376,106,482,2425,2319,0,0,0,0
4,"GAJHARA ",2175,1342,610,0,610,1952,1952,0,12,12,7
5,"GIDHWAS ",2497,1957,280,0,280,2237,2237,0,0,0,3
6,"KHOJA ",0,0,0,0,0,0,0,0,0,0,0
7,"KUMARKHAT EAST ",3544,2724,493,1,494,3218,3217,0,47,47,26
8,"KUMARKHAT WEST ",2489,1445,790,0,790,2235,2235,0,23,23,27
9,"LACHHMINIA ",2936,2155,475,0,475,2630,2630,0,2,2,1
10,"MAHTHA ",2054,1346,496,0,496,1842,1842,0,4,4,0
11,"PADMA ",2760,1852,622,0,622,2474,2474,0,8,8,0
12,"PATHRAHI ",2467,1600,613,0,613,2213,2213,0,16,16,44
13,"PIPRAHI ",1983,1268,493,17,510,1778,1761,0,0,0,19
14,"SIDHAP KALA ",4937,3364,1068,0,1068,4432,4432,0,0,0,3
15,"SIDHPA ",2532,1926,342,0,342,2268,2268,0,19,19,36
