id,Disctrict,AC,Block,Panchayat,No,"""GP Name""","""Total Detail Entered (With & Without Toilet) BLS-2012""","""BPL (2012)""","""Identified(APL, 2012)""","""UnIdentified (APL, 2012)""","""Total (UnIdentified + Identified, APL, 2012)""","""Total (BPL+APL)""","""Total HH Identified""",of HH entered by name," of Households covered 2014-2015 (including unapproved)"""," of Households Covered after Survey 2012""",of HH reported by name
1,Khagaria,Beldaur,Chautham,2015 2016,SL.No.,GP Name,Total Detail Entered (With & Without Toilet) BLS-2012,BPL (2012),"Identified(APL, 2012)","UnIdentified (APL, 2012)","Total (UnIdentified + Identified, APL, 2012)",Total (BPL+APL),Total HH Identified,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
2,Khagaria,Beldaur,Chautham,2015 2016,SL.No.,GP Name,Total Detail Entered (With & Without Toilet) BLS-2012,BPL (2012),"Identified(APL, 2012)","UnIdentified (APL, 2012)","Total (UnIdentified + Identified, APL, 2012)",Total (BPL+APL),Total HH Identified,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
3,Khagaria,Beldaur,Chautham,2015 2016,SL.No.,GP Name,Total Detail Entered (With & Without Toilet) BLS-2012,BPL (2012),"Identified(APL, 2012)","UnIdentified (APL, 2012)","Total (UnIdentified + Identified, APL, 2012)",Total (BPL+APL),Total HH Identified,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
4,Khagaria,Beldaur,Chautham,2015 2016,SL.No.,GP Name,Total Detail Entered (With & Without Toilet) BLS-2012,BPL (2012),"Identified(APL, 2012)","UnIdentified (APL, 2012)","Total (UnIdentified + Identified, APL, 2012)",Total (BPL+APL),Total HH Identified,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
5,Khagaria,Beldaur,Chautham,2015 2016,SL.No.,GP Name,Total Detail Entered (With & Without Toilet) BLS-2012,BPL (2012),"Identified(APL, 2012)","UnIdentified (APL, 2012)","Total (UnIdentified + Identified, APL, 2012)",Total (BPL+APL),Total HH Identified,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
6,Khagaria,Beldaur,Chautham,2015 2016,SL.No.,GP Name,Total Detail Entered (With & Without Toilet) BLS-2012,BPL (2012),"Identified(APL, 2012)","UnIdentified (APL, 2012)","Total (UnIdentified + Identified, APL, 2012)",Total (BPL+APL),Total HH Identified,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
7,Khagaria,Beldaur,Chautham,2015 2016,SL.No.,GP Name,Total Detail Entered (With & Without Toilet) BLS-2012,BPL (2012),"Identified(APL, 2012)","UnIdentified (APL, 2012)","Total (UnIdentified + Identified, APL, 2012)",Total (BPL+APL),Total HH Identified,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
8,Khagaria,Beldaur,BELDAUR,2015 2016,SL.No.,GP Name,Total Detail Entered (With & Without Toilet) BLS-2012,BPL (2012),"Identified(APL, 2012)","UnIdentified (APL, 2012)","Total (UnIdentified + Identified, APL, 2012)",Total (BPL+APL),Total HH Identified,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
9,Khagaria,Beldaur,BELDAUR,2015 2016,SL.No.,GP Name,Total Detail Entered (With & Without Toilet) BLS-2012,BPL (2012),"Identified(APL, 2012)","UnIdentified (APL, 2012)","Total (UnIdentified + Identified, APL, 2012)",Total (BPL+APL),Total HH Identified,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
10,Khagaria,Beldaur,BELDAUR,2015 2016,SL.No.,GP Name,Total Detail Entered (With & Without Toilet) BLS-2012,BPL (2012),"Identified(APL, 2012)","UnIdentified (APL, 2012)","Total (UnIdentified + Identified, APL, 2012)",Total (BPL+APL),Total HH Identified,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
