id,Disctrict,AC,Block,No,GP Name,Total Detail Entered (With & Without Toilet) BLS-2012,BPL (2012),"Identified(APL, 2012)","UnIdentified (APL, 2012)","Total (UnIdentified + Identified, APL, 2012)",Total (BPL+APL),Total HH Identified,of HH entered by name," of Households covered 2014-2015 (including unapproved)"""," of Households Covered after Survey 2012""",of HH reported by name
1,Pashchim Champaran,Chanpatiya,Majhaulia,SL.No.,AHWAR KUDIA ,3408,1862,1098,149,1247,3109,2960,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
2,Pashchim Champaran,Chanpatiya,Majhaulia,SL.No.,AMAWA MAJHAR ,2888,1332,769,211,980,2312,2101,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
3,Pashchim Champaran,Chanpatiya,Majhaulia,SL.No.,BAHUARWA ,3401,2186,350,530,880,3066,2536,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
4,Pashchim Champaran,Chanpatiya,Majhaulia,SL.No.,BAITHANIA BHANACHAK ,3432,2196,386,23,409,2605,2582,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
5,Pashchim Champaran,Chanpatiya,Majhaulia,SL.No.,BAKHARIA ,2793,1402,906,70,976,2378,2308,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
6,Pashchim Champaran,Chanpatiya,Majhaulia,SL.No.,BARWA SEMRAGHAT ,2745,1146,1400,95,1495,2641,2546,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
7,Pashchim Champaran,Chanpatiya,Majhaulia,SL.No.,BISHAMBHARPUR ,1737,675,502,151,653,1328,1177,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
8,Pashchim Champaran,Chanpatiya,Majhaulia,SL.No.,CHANAIN BANDH ,3619,1763,1223,79,1302,3065,2986,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
9,Pashchim Champaran,Chanpatiya,Majhaulia,SL.No.,DHOKRAHA ,3419,1061,1411,252,1663,2724,2472,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
10,Pashchim Champaran,Chanpatiya,Majhaulia,SL.No.,DUMRI ,1649,892,316,143,459,1351,1208,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
11,Pashchim Champaran,Chanpatiya,Majhaulia,SL.No.,GARAWA HARPUR ,6061,3592,2252,47,2299,5891,5844,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
12,Pashchim Champaran,Chanpatiya,Majhaulia,SL.No.,GUDRA ,1169,501,382,3,385,886,883,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
13,Pashchim Champaran,Chanpatiya,Majhaulia,SL.No.,JAWKATIA ,4470,1905,1020,152,1172,3077,2925,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
14,Pashchim Champaran,Chanpatiya,Majhaulia,SL.No.,KARAMWA ,2816,1324,1078,17,1095,2419,2402,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
15,Pashchim Champaran,Chanpatiya,Majhaulia,SL.No.,LALSARAIA ,4628,1984,1797,1,1798,3782,3781,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
16,Pashchim Champaran,Chanpatiya,Majhaulia,SL.No.,MADHOPUR ,2378,654,1281,129,1410,2064,1935,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
17,Pashchim Champaran,Chanpatiya,Majhaulia,SL.No.,MAHNAGANI ,3438,1750,809,91,900,2650,2559,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
18,Pashchim Champaran,Chanpatiya,Majhaulia,SL.No.,MAHNWA RAMPURWA ,3702,2239,1004,232,1236,3475,3243,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
19,Pashchim Champaran,Chanpatiya,Majhaulia,SL.No.,MAJHARIA SEKH ,3980,1439,1660,284,1944,3383,3099,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
20,Pashchim Champaran,Chanpatiya,Majhaulia,SL.No.,MAJHAULIA ,3697,1360,1840,279,2119,3479,3200,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
21,Pashchim Champaran,Chanpatiya,Majhaulia,SL.No.,MOHADDIPUR ,3734,1767,1093,356,1449,3216,2860,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
22,Pashchim Champaran,Chanpatiya,Majhaulia,SL.No.,NAUTAN KHURD ,3507,1941,1013,157,1170,3111,2954,No.of HH entered by name [2013-14],No. of Households covered 2014-2015 (including unapproved),Total No. of Households Covered after Survey 2012,No.of HH reported by name [2015-16]
