Sno.,Village Name,Habitation N me A,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BAINGRA,BEANGRA,Shallow tubewell,Ground Water,Dhanjay Mehata S/O Nageshw ar Mehata Ghar Ke Pas,HandPump,MLA QOUTA-HARLAKHI- 1(0006387490)
2,BAINGRA,BEANGRA,Shallow tubewell,Ground Water,Mahavir Kamat S/O Raji Kamt Ghar Ke Pas,HandPump,MLA QOUTA-HARLAKHI- 1(0006387490)
3,BAINGRA,BEANGRA,Shallow tubewell,Ground Water,Chandarbhusan Thakur S/O Ramlobhit Thakur,HandPump,MLA QUOTA-HARLAKHI- 3(0005688287)
4,BAINGRA,BEANGRA,Shallow tubewell,Ground Water,Direndar Mehto S/O Ramautar Mehta Ward No-13,HandPump,MLA QUOTA-HARLAKHI- 3(0005688287)
5,BAINGRA,BEANGRA,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC HARLAKHI(0005699573)
6,BAINGRA,BEANGRA,Shallow tubewell,Ground Water,Sadak Kinare,HandPump,NC/PC HARLAKHI(0005699573)
7,BAINGRA,BEANGRA,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC HARLAKHI(0005699573)
8,BAINGRA,BEANGRA,Shallow tubewell,Ground Water,Sadak Kinare,HandPump,NC/PC HARLAKHI(0005699573)
9,BAINGRA,BEANGRA,Shallow tubewell,Ground Water,U.M.S Bhala Baingra,HandPump,SCHOOL T/W-HARLAKHI- 2(0006206012)
10,BAINGRA,BEANGRA,Deep tubewell,Ground Water,P.S.BENGRA MUSHARI,HandPump,SPOT SOURCES(0002717905)
11,BAINGRA,BEANGRA,Deep tubewell,Ground Water,U.P.S.BHALA BAINGRA,HandPump,SPOT SOURCES(0002717923)
12,BAINGRA,BEANGRA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001968839)
13,BAINGRA,BEANGRA,Shallow tubewell,Ground Water,HARIJAN BHAVAN,HandPump,SUHTAIPNABLE NEW IN PLACE OF OLD T/W HARLAKHAI(0006682729)
14,SEMHLI,GOTH TOL,Shallow tubewell,Ground Water,P.S.SEMHALI USARWA,HandPump,SCHOOL T/W-HARLAKHI- 1(0006193183)
15,SEMHLI,GOTH TOL,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0004044755)
16,SEMHLI,GOTH TOL,Deep tubewell,Ground Water,P.S.SEMHALI USARWA,HandPump,SPOT SOURCES(0002717934)
17,SEMHLI,MUSLIM TOL,Shallow tubewell,Ground Water,A,HandPump,NC/PC HARLAKHI(0006538710)
18,SEMHLI,MUSLIM TOL,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0004044808)
19,SEMHLI,SEAMHLI,Deep tubewell,Ground Water,Road Side Me,HandPump,Babubarhi Spot Source Scheme(0004739339)
20,SEMHLI,SEAMHLI,Shallow tubewell,Ground Water,Abiram Thakur S/O Ravindra Thakur Ghar Ke Pas,HandPump,MLA QOUTA-HARLAKHI- 1(0006387490)
21,SEMHLI,SEAMHLI,Shallow tubewell,Ground Water,Shital Pandit S/O Mat Mangal Pandit Ghar Ke Pas,HandPump,MLA QOUTA-HARLAKHI- 1(0006387490)
22,SEMHLI,SEAMHLI,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC HARLAKHI(0005699573)
23,SEMHLI,SEAMHLI,Shallow tubewell,Ground Water,Sadak Ke Bagal Me,HandPump,NC/PC HARLAKHI(0005699573)
24,SEMHLI,SEAMHLI,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0004044791)
25,SEMHLI,SEAMHLI,Shallow tubewell,Ground Water,Pasw an Tol,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD HARLAKHI(0005819891)
26,SONAI,KHIBEA TOL,Shallow tubewell,Ground Water,A,HandPump,NC/PC HARLAKHI(0006534908)
27,SONAI,KHIBEA TOL,Shallow tubewell,Ground Water,B,HandPump,NC/PC HARLAKHI(0006538710)
28,SONAI,KHIBEA TOL,Shallow tubewell,Ground Water,A,HandPump,NC/PC HARLAKHI(0006538710)
29,SONAI,KHIBEA TOL,Shallow tubewell,Ground Water,N.P.S Khatbe Tol East,HandPump,SCHOOL T/W-HARLAKHI- 2(0006206012)
30,SONAI,KHIBEA TOL,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0002674967)
31,SONAI,SONAI,Shallow tubewell,Ground Water,Aw c105,HandPump,Anganw ari Harlakhi Block(0005454584)
32,SONAI,SONAI,Shallow tubewell,Ground Water,Rajnandan Baintha S/O Laxmi Baintha Ghar Ke Najdik,HandPump,MLA QOUTA-HARLAKHI- 1(0006387490)
33,SONAI,SONAI,Shallow tubewell,Ground Water,Sukan Khatw e S/O Sitay Khatw e Ward No-2,HandPump,MLA QUOTA-HARLAKHI- 3(0005688287)
34,SONAI,SONAI,Shallow tubewell,Ground Water,Bikau Mukhya,HandPump,MLA QUOTA-HARLAKHI- 3(0005688287)
35,SONAI,SONAI,Shallow tubewell,Ground Water,Shyam Mandal S/O Ranautar Mandal Ward No-6,HandPump,MLA QUOTA-HARLAKHI- 3(0005688287)
36,SONAI,SONAI,Shallow tubewell,Ground Water,P.S.SONAI GIRL,HandPump,SCHOOL T/W-HARLAKHI- 1(0006193183)
37,SONAI,SONAI,Shallow tubewell,Ground Water,M.S. Sonai,HandPump,SCHOOL T/W-HARLAKHI- 1(0006193183)
38,SONAI,SONAI,Shallow tubewell,Ground Water,M.S. Semhli,HandPump,SCHOOL T/W-HARLAKHI- 1(0006193183)
39,SONAI,SONAI,Shallow tubewell,Ground Water,N.P.S Malah Tol East Sonai,HandPump,SCHOOL T/W-HARLAKHI- 2(0006206012)
40,SONAI,SONAI,Deep tubewell,Ground Water,P.S.SONAI GIRL,HandPump,SPOT SOURCES(0002717963)
41,SONAI,SONAI,Deep tubewell,Ground Water,P.S.MALLAHTOLA SONAI,HandPump,SPOT SOURCES(0002717964)
42,SONAI,SONAI,Deep tubewell,Ground Water,M.S. Sonai,HandPump,SPOT SOURCES(0002717965)
43,SONAI,SONAI,Deep tubewell,Ground Water,M.S. Semhli,HandPump,SPOT SOURCES(0002717973)
44,SONAI,SONAI,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001968826)
45,SONAI,SONAI,Shallow tubewell,Ground Water,Rambilash Khatw e,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD HARLAKHI(0005819891)
46,SONAI,SONAI,Shallow tubewell,Ground Water,UCHYA VIDYALYA,HandPump,SUHTAIPNABLE NEW IN PLACE OF OLD T/W HARLAKHAI(0006682729)
