Sno.,Village Name,Habitation Name,Source Type,,Source Type Category Location,Location,Type,Scheme Name
1,FATEHPUR,FATEH PUR,Deep tubewell,Ground Water,SP 1,PWS,Mini PWS Son Barsa(0007137908),
2,FATEHPUR,FATEH PUR,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0001986232),
3,FATEHPUR,HARIJAN TOLA,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,HP-IRP(0003763536),
4,FATEHPUR,HARIJAN TOLA,Shallow tubewell,Ground Water,NERA RIVER,HandPump,HP-IRP(0005630385),
5,FATEHPUR,HARIJAN TOLA,Deep tubewell,Ground Water,NEAR HARIJAN TOLA,HandPump,Near Babji Rajak(0001332478),
6,FATEHPUR,HARIJAN TOLA,Deep tubewell,Ground Water,NEAR VILLAGE ROAD,HandPump,Sonbarsa QA Hab. Scheme(0004112798),
7,FATEHPUR,HARIJAN TOLA,Deep tubewell,Ground Water,NEAR RIVER,HandPump,Sonbarsa QA Hab. Scheme(0004112798),
8,MAINA,CHILARAHI,Shallow tubewell,Ground Water,NEAR CHAURAHA,HandPump,HP-IRP(0005630393),
9,MAINA,CHILARAHI,Shallow tubewell,Ground Water,Ghuran Rishidev,HandPump,HP-IRP(0006049915),
10,MAINA,CHILARAHI,Shallow tubewell,Ground Water,Sundar Rajak,HandPump,HP-IRP(0006049921),
11,MAINA,CHILARAHI,Deep tubewell,Ground Water,NEAR ROAD,HandPump,Sonbarsa QA Hab. Scheme(0004112798),
12,MAINA,CHILARAHI,Deep tubewell,Ground Water,NEAR CHABUTRA,HandPump,Sonbarsa QA Hab. Scheme(0004112798),
13,MAINA,CHILARAHI HARIJAN,Shallow tubewell,Ground Water,NEAR CHAUK,HandPump,HP-IRP(0005630416),
14,MAINA,CHILARAHI HARIJAN,Deep tubewell,Ground Water,NEAR VILLAGE ROAD,HandPump,Sonbarsa QA Hab. Scheme(0004112798),
15,MAINA,CHILARAHI HARIJAN,Deep tubewell,Ground Water,NEAR ROAD,HandPump,Sonbarsa QA Hab. Scheme(0004112798),
16,MAINA,DHOBI TOLA,Shallow tubewell,Ground Water,NEAR CHABUTRA,HandPump,HP-IRP(0005630426),
17,MAINA,DHOBI TOLA,Deep tubewell,Ground Water,NEAR ROAD,HandPump,Near Mahendar Pasw an(0001332473),
18,MAINA,DHOBI TOLA,Deep tubewell,Ground Water,NEAR VILLAGE,HandPump,Sonbarsa QA Hab. Scheme(0004112798),
19,MAINA,DHOBI TOLA,Deep tubewell,Ground Water,NEAR CHAUK,HandPump,Sonbarsa QA Hab. Scheme(0004112798),
20,MAINA,KAYASTH TOLA,Deep tubewell,Ground Water,In Tola,HandPump,HP IRP(0006532143),
21,MAINA,KAYASTH TOLA,Deep tubewell,Ground Water,NEAR ROAD,HandPump,Sonbarsa QA Hab. Scheme(0004112798),
22,MAINA,MAINA,Shallow tubewell,Ground Water,"NEAR DHIRENDRA YADAV, OLD MUKHIYA",HandPump,HP-IRP(0003649425),
23,MAINA,MAINA,Shallow tubewell,Ground Water,Sadak Kinare,HandPump,HP-IRP(0006049907),
24,MAINA,MAINA,Shallow tubewell,Ground Water,Post Office,HandPump,HP-IRP(0006049911),
25,MAINA,MAINA,Shallow tubewell,Ground Water,NEAR VILLAGE,HandPump,NC/PC(0001986253),
