No,GP Name,Total Detail Entered (With +ACY- Without Toilet) BLS+AC0-2012,BPL (2012),+ACI-Identified(APL, 2012)+ACI-,+ACI-UnIdentified (APL, 2012)+ACI-,+ACI-Total (UnIdentified  Identified, APL, 2012)+ACI-,Total (BPL+//0A7//9AL///QC9//0Aw//9AK///QDv//0Av//9AL3//QDC//0Av//9AO///QC///0Avf/9AML//QC9//0A7//9AL///QC9//0Aw//9AIP//QDv//0Av//9AL3//QDC//0Ag//9AO///QC///0Avf/9AMP//QCv//0A7//9AL///QC9//0Awv/9AL///QDv//0Av//9AL3//QDC//0Avf/9AO///QC///0Avf/9AMP//QCC//0A7//9AL///QC9//0Awv/9ALL//QDv//0Av//9AL3//QDD//0Ar//9AO///QC///0Avf/9AML//QC///0A7//9AL///QC9//0Awv/9AL3//QDv//0Av//9AL3//QDD//0Ag//9AO///QC///0Avf/9AML//QCv//0A7//9AL///QC9//0Aw//9AK///QDv//0Av//9AL3//QDC//0Av//9AO///QC///0Avf/9AML//QC9//0A7//9AL///QC9//0Aw//9AIL//QDv//0Av//9AL3//QDC//0Av//9AO///QC///0Avf/9AMP//QCv//0A7//9AL///QC9//0Awv/9AL///QDv//0Av//9AL3//QDC//0Avf/9AO///QC///0Avf/9AMP//QCC//0A7//9AL///QC9//0Awv/9AL0-),Total HH Identified,of HH entered by name, of Households covered 2014+AC0-2015 (including unapproved), of Households Covered after Survey 2012,of HH reported by name
1,BAJRA ,3227,1439,601,215,816,2255,2040,0,0,0,0
2,BELSANDI ,2400,1418,293,185,478,1896,1711,0,0,0,0
3,BELWA ,2034,1170,425,85,510,1680,1595,0,17,17,0
4,BHITIHARWA ,2873,1853,608,106,714,2567,2461,0,38,38,0
5,DARAUL ,2685,1776,463,141,604,2380,2239,0,10,10,0
6,DHAMAURA ,2827,2064,426,82,508,2572,2490,0,0,0,0
7,DHANAUJI ,2312,1524,424,94,518,2042,1948,0,0,0,0
8,DOMATH ,2872,1690,434,184,618,2308,2124,0,0,0,0
9,GAUNAHA ,2728,1304,300,120,420,1724,1604,0,0,0,0
10,JAMUNIA ,2493,1774,334,99,433,2207,2108,0,0,0,0
11,LACHHNAUTA ,2505,1712,461,102,563,2275,2173,0,0,0,0
12,MADHOPUR ,3013,1991,651,126,777,2768,2642,0,2,2,0
13,MAHUI ,2203,1023,446,99,545,1568,1469,0,39,39,0
14,MAJHARIA ,2983,1684,755,123,878,2562,2439,0,0,0,0
15,MATIARIYA ,2357,1242,229,127,356,1598,1471,0,0,0,0
16,MEHNAUL ,2309,1478,487,101,588,2066,1965,0,0,0,0
17,RUPWALIA ,2210,1128,88,341,429,1557,1216,0,0,0,0
18,SHITTHI ,2091,1430,486,9,495,1925,1916,0,0,0,0
