"SL.No.","GP Name","Total Detail Entered (With & Without Toilet) BLS-2012","BPL (2012)","Identified(APL, 2012)","UnIdentified (APL, 2012)","Total (UnIdentified  Identified, APL, 2012)","Total (BPLò�)","Total HH Identified","No.of HH entered by name [2013-14]","No. of Households covered 2014-2015 (including unapproved)","Total No. of Households Covered after Survey 2012","No.of HH reported by name [2015-16]"
1,"BATHNAHA",1752,1533,7,32,39,1572,1540,0,1,1,0
2,"DHANAUJA",2265,1591,438,3,441,2032,2029,0,1,1,0
3,"DHARMDIHA",2949,2282,356,2,358,2640,2638,0,13,13,0
4,"GEHUMA BAIRIA",2301,2063,1,0,1,2064,2064,0,13,28,15
5,"GODHIARI",1504,396,954,0,954,1350,1350,0,0,0,0
6,"KALAPATTI",4156,2971,743,12,755,3726,3714,0,0,0,0
7,"MAHATHAUR KHURD",2531,1854,88,321,409,2263,1942,0,10,10,0
8,"MAHIND BAR",2778,2165,456,1,457,2622,2621,0,2,52,50
9,"PHULPARAS",2647,2366,0,0,0,2366,2366,0,34,40,6
10,"RAM NAGAR",4003,2979,276,325,601,3580,3255,0,50,93,43
11,"SAINI",3471,2779,317,14,331,3110,3096,0,14,15,1
12,"SISWABARHI",2920,2145,473,0,473,2618,2618,0,2,3,1
13,"SISWAR",2136,1547,371,0,371,1918,1918,0,0,4,4
14,"SUGA PATTI",2865,1891,205,473,678,2569,2096,0,0,0,0
