"SL.No.","GP Name","Total Detail Entered (With & Without Toilet) BLS-2012","BPL (2012)","Identified(APL, 2012)","UnIdentified (APL, 2012)","Total (UnIdentified  Identified, APL, 2012)","Total (BPLò�)","Total HH Identified","No.of HH entered by name [2013-14]","No. of Households covered 2014-2015 (including unapproved)","Total No. of Households Covered after Survey 2012","No.of HH reported by name [2015-16]"
1,"BADHA KUSUMAR",2365,1566,557,0,557,2123,2123,0,0,0,0
2,"BASUDEV PUR",3195,1568,1093,213,1306,2874,2661,0,0,0,0
3,"BIRPUR",2242,1732,138,139,277,2009,1870,0,12,13,1
4,"DURGI PATTI",2207,1507,471,0,471,1978,1978,0,0,0,0
5,"EKHATA",2569,1161,798,1,799,1960,1959,0,0,44,44
6,"JHANJHPATTI ASHA",2876,1216,1130,1,1131,2347,2346,0,0,0,0
7,"KARMEGH MIDDLE",3035,2182,640,0,640,2822,2822,0,1,1,0
8,"KARMEGH NORTH",1878,1685,0,0,0,1685,1685,0,2,3,1
9,"KARMEGH WEST",2207,1101,877,0,877,1978,1978,0,14,14,0
10,"KHUTAUNA",3020,1763,461,491,952,2715,2224,0,61,66,5
11,"LALMANIA",3231,2197,704,0,704,2901,2901,0,0,10,10
12,"MADHOPUR",2637,1660,705,0,705,2365,2365,0,0,0,0
13,"MAJHAURA",4303,1925,808,616,1424,3349,2733,0,0,0,0
14,"NAHARI",3306,2011,957,0,957,2968,2968,0,0,2,2
15,"PARSAHI EAST",1949,1624,121,0,121,1745,1745,0,0,0,0
16,"PARSAHI WEST",2227,1573,423,0,423,1996,1996,0,0,0,0
17,"PIPRAHI",2465,1681,529,0,529,2210,2210,0,0,0,0
18,"SIKTIYAHI",2371,1583,551,1,552,2135,2134,0,24,51,27
