"SL.No.","GP Name","Total Detail Entered (With & Without Toilet) BLS-2012","BPL (2012)","Identified(APL, 2012)","UnIdentified (APL, 2012)","Total (UnIdentified  Identified, APL, 2012)","Total (BPLò�)","Total HH Identified","No.of HH entered by name [2013-14]","No. of Households covered 2014-2015 (including unapproved)","Total No. of Households Covered after Survey 2012","No.of HH reported by name [2015-16]"
1,"ARGHAWA ",2537,1503,321,121,442,1945,1824,0,149,149,3
2,"BASO PATTI ( EAST) ",2130,1237,320,0,320,1557,1557,0,0,0,1
3,"BASO PATTI (WEST) ",2053,1121,406,4,410,1531,1527,0,0,0,11
4,"BIRPUR ",3433,1581,257,0,257,1838,1838,0,2,2,0
5,"CHHATAUNI ",2343,997,424,7,431,1428,1421,0,0,0,0
6,"DAMU ",0,0,0,0,0,0,0,0,0,0,0
7,"GHORBANKI ",2130,753,2,0,2,755,755,0,2,2,0
8,"HATHHAPUR PARSA ",3153,2079,195,164,359,2438,2274,0,0,0,0
9,"KATAIA ",2411,1594,727,0,727,2321,2321,0,0,0,2
10,"KHONA ",2266,1083,361,0,361,1444,1444,0,0,0,0
11,"MAHINATH PUR ",1859,1454,326,0,326,1780,1780,0,0,0,0
12,"MARHIYA ",2617,1261,98,43,141,1402,1359,0,0,0,12
13,"PHENT ",2290,605,66,0,66,671,671,0,1,1,0
14,"SELIBELI ",2920,2104,88,0,88,2192,2192,0,19,19,3
15,"SIRIYAPUR ",3021,551,31,31,62,613,582,0,50,50,1
