Sno.,Village Name,Habitation Name,Source Type,Source Type Category Lo ation r,Location,Type,Scheme Name
1,KHAIRI BANKA,HASNAPUR,Deep tubewell,Ground Water,Pokhar Bhinda Par,HandPump,Hand Pump Scheme(0004690566)
2,KHAIRI BANKA,HASNAPUR,Deep tubewell,Ground Water,Mandir Ke Pas,HandPump,Mahendra Ram(0000044603)
3,KHAIRI BANKA,HASNAPUR,Shallow tubewell,Ground Water,Nadi Ke Kinare Chadki Par,HandPump,MLA QUOTA-BISFI- 2(0005555887)
4,KHAIRI BANKA,HASNAPUR,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC BISFI- 1(0005696678)
5,KHAIRI BANKA,HASNAPUR,Shallow tubewell,Ground Water,Chow k Par,HandPump,NC/PC BISFI- 1(0005696678)
6,KHAIRI BANKA,HASNAPUR,Shallow tubewell,Ground Water,Samudayik Bhaw an,HandPump,Spot Source- Bisfi(0005271807)
7,KHAIRI BANKA,KHAIRI,Shallow tubewell,Ground Water,B,HandPump,NC/PC BISFI(0006541567)
8,KHAIRI BANKA,KHAIRI,Shallow tubewell,Ground Water,A,HandPump,NC/PC BISFI(0006541567)
9,KHAIRI BANKA,KHAIRI,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0001966868)
10,KHAIRI BANKA,KHAIRI,Shallow tubewell,Ground Water,Jamun Das,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD BISFI(0005820169)
11,KHAIRI BANKA,KHAIRI BAKA,Shallow tubewell,Ground Water,PAIYARI KABRISTAN KE PAS FAKIR TAKIYA PAR SAWVJANIK STHAN PAR,HandPump,MLA QOUTA- BISFI (2013-14)(0006786437)
12,KHAIRI BANKA,KHAIRI BAKA,Shallow tubewell,Ground Water,SHIV SAHANI S/O MANEJAR SHANI KE PAS SARVJANIK SH HL PAR,HandPump,MLA QOUTA- BISFI (2013-14)(0006786437)
13,KHAIRI BANKA,KHAIRI BAKA,Shallow tubewell,Ground Water,JAHIR NADAF KE GHAR K PAS SARVJAK STHAL APNA,HandPump,MLA QOUTA- BISFI (2013-14)(0006786437)
14,KHAIRI BANKA,KHAIRI BAKA,Shallow tubewell,Ground Water,PRIYTAM KYADAV KE GHAR KE PAS SARVJANIK STHAL P,HandPump,MLA QOUTA- BISFI (2013-14)(0006786437)
15,KHAIRI BANKA,KHAIRI BAKA,Shallow tubewell,Ground Water,MD JABNIR KE GHAR KE PAS SARVJANIIK STHAL PAR,HandPump,MLA QOUTA- BISFI (2013-14)(0006786437)
16,KHAIRI BANKA,KHAIRI BAKA,Shallow tubewell,Ground Water,JUGUNU KHATUN S/O JIMAL AKHTAR KE PAS SARVJANIK STHAO P,HandPump,MLA QOUTA- BISFI (2013-14)(0006786437)
17,KHAIRI BANKA,KHAIRI BAKA,Shallow tubewell,Ground Water,TOSIF AHMAD S/O NESHAR AHMAD KE GHAR KE P;AS,HandPump,MLA QOUTA- BISFI (2013-14)(0006786437)
18,KHAIRI BANKA,KHAIRI BAKA,Shallow tubewell,Ground Water,MD JAKIR S/O LATE MEER HAKIM KE GHAR KE PAS SARVJANIK STHAL PAR,HandPump,MLA QOUTA- BISFI (2013-14)(0006786437)
19,KHAIRI BANKA,KHAIRI BAKA,Shallow tubewell,Ground Water,MD RAJI HAIDAR SO LATE SAJJAD HASAN KE GHAR KE PAS SARVJANIK STHAL PAR,HandPump,MLA QOUTA- BISFI (2013-14)(0006786437)
20,KHAIRI BANKA,KHAIRI BAKA,Shallow tubewell,Ground Water,MASOMAT SHAHNAJ KHATUN S/O LATE MD MONIF KE GHAR KE PAS,HandPump,MLA QOUTA- BISFI (2013-14)(0006786437)
21,KHAIRI BANKA,KHAIRI BAKA,Shallow tubewell,Ground Water,Sahdev Yadav Ke Ghar Ke Niket,HandPump,MLA QUOTA-BISFI- 2(0005555887)
22,KHAIRI BANKA,KHAIRI BAKA,Shallow tubewell,Ground Water,Baka Chouraha Ke Niket Sadak Ke Kinare,HandPump,MLA QUOTA-BISFI- 2(0005555887)
23,KHAIRI BANKA,KHAIRI BAKA,Shallow tubewell,Ground Water,Rji Ahmad Ke Sadak Ke Niket,HandPump,MLA QUOTA-BISFI- 2(0005555887)
24,KHAIRI BANKA,KHAIRI BAKA,Shallow tubewell,Ground Water,Kajitola Idagah Ke Niket,HandPump,MLA QUOTA-BISFI- 2(0005555887)
25,KHAIRI BANKA,KHAIRI BAKA,Shallow tubewell,Ground Water,Krishan Mandir Ke Prangan Me Gram Pow ari,HandPump,MLA QUOTA-BISFI- 3(0005556106)
26,KHAIRI BANKA,KHAIRI BAKA,Shallow tubewell,Ground Water,Jagdish Mandal S/O Met Mahnaji Mandal Gram Madiya,HandPump,MLA QUOTA-BISFI- 3(0005556106)
27,KHAIRI BANKA,KHAIRI BAKA,Shallow tubewell,Ground Water,Ramavtar Yadav S/O Met Shukhdev Yadav Gram Bhgouti,HandPump,MLA QUOTA-BISFI- 3(0005556106)
28,KHAIRI BANKA,KHAIRI BAKA,Shallow tubewell,Ground Water,Mo Bachen S/O Met Jamsed Ke Ghar Ke Pas Gram Rajw an,HandPump,MLA QUOTA-BISFI- 3(0005556106)
29,KHAIRI BANKA,KHAIRI BAKA,Shallow tubewell,Ground Water,Rambabu Yadav S/O Parmesw ar Parsa Yadav Ke Darw aja Ke Pas,HandPump,MLA QUOTA-BISFI- 3(0005556106)
30,KHAIRI BANKA,KHAIRI BAKA,Shallow tubewell,Ground Water,Rambilash Mandal Ke Ghar Ke Bagal Me Ward No-02,HandPump,MLC QOUTA BISFI(0006393665)
31,KHAIRI BANKA,KHAIRI BAKA,Shallow tubewell,Ground Water,P.S.DULHA NAVTOL,HandPump,SCHOOL T/W- BISFI(0006557172)
