"SL.No.","GP Name","Total Detail Entered (With & Without Toilet) BLS-2012","BPL (2012)","Identified(APL, 2012)","UnIdentified (APL, 2012)","Total (UnIdentified  Identified, APL, 2012)","Total (BPLò�)","Total HH Identified","No.of HH entered by name [2013-14]","No. of Households covered 2014-2015 (including unapproved)","Total No. of Households Covered after Survey 2012","No.of HH reported by name [2015-16]"
1,"BAKUA ",2447,1431,767,0,767,2198,2198,0,0,0,0
2,"BANKI ",2713,1172,1267,0,1267,2439,2439,0,85,85,48
3,"BARSAM ",2193,0,0,0,0,0,0,0,0,0,0
4,"BASIPATTI ",1726,1071,479,0,479,1550,1550,0,5,5,0
5,"BATH ",1097,711,271,3,274,985,982,0,24,24,0
6,"BHAKHARAIN ",1189,482,586,2,588,1070,1068,0,2,2,0
7,"BHARGAMA ",2689,1872,540,0,540,2412,2412,0,0,0,0
8,"BHEJA ",2727,1679,769,0,769,2448,2448,0,0,0,0
9,"BHIT BHAGWANPUR ",4051,1864,1781,0,1781,3645,3645,0,1,1,4
10,"DARAH ",2146,1284,643,0,643,1927,1927,0,0,0,0
11,"DWALAKH ",1980,911,870,0,870,1781,1781,0,0,0,3
12,"GARGAON ",1461,1074,224,11,235,1309,1298,0,0,0,0
13,"KARHARA ",2794,1810,696,0,696,2506,2506,0,23,23,51
14,"MADHEPUR EAST ",1669,1497,0,0,0,1497,1497,0,11,11,5
15,"MADHEPUR WEST ",4432,2801,1181,0,1181,3982,3982,0,4,4,12
16,"MAHASINGH HASAULI ",3481,2192,930,0,930,3122,3122,0,0,0,3
17,"MAHISHAM ",3306,1765,1205,0,1205,2970,2970,0,6,6,17
18,"MAHPATIA ",1993,1432,356,0,356,1788,1788,0,5,5,0
19,"MATRAS ",2961,1769,890,0,890,2659,2659,0,23,23,0
20,"NAWADA ",1809,1429,192,0,192,1621,1621,0,9,9,0
21,"PACHAHI ",2505,1686,562,0,562,2248,2248,0,50,50,6
22,"PARWALPUR ",2594,1425,906,0,906,2331,2331,0,0,0,28
23,"PRASAD ",4599,2495,1626,10,1636,4131,4121,0,9,9,0
24,"RAHUA SANGRAM ",2417,1468,650,50,700,2168,2118,0,2,2,28
25,"SUNDAR BIRAJEET ",1047,776,163,1,164,940,939,0,15,15,15
26,"TARDIHA ",2330,1288,805,0,805,2093,2093,0,8,8,13
